epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1229.73,1.01106,0.77872,1.2793,0.8685,0.87189,0.92767,0.66707,1.02229,0.68051,1.2672,0.0016502,0.0016502,0.0016502
55,1249.12,1.00197,0.74121,1.273,0.86023,0.89799,0.92215,0.66413,1.07515,0.6891,1.29966,0.0016436,0.0016436,0.0016436
56,1272.56,1.01412,0.74395,1.27654,0.85471,0.87929,0.92558,0.63494,1.13199,0.71258,1.34109,0.001637,0.001637,0.001637
57,1296.01,0.99999,0.7517,1.25841,0.85015,0.88256,0.92951,0.66721,1.01389,0.68514,1.29693,0.0016304,0.0016304,0.0016304
58,1319.5,0.99882,0.75094,1.26791,0.91167,0.86833,0.93993,0.65481,1.06418,0.65351,1.28749,0.0016238,0.0016238,0.0016238
59,1340.71,0.98928,0.72966,1.26299,0.87319,0.84698,0.90239,0.63244,1.0622,0.74289,1.312,0.0016172,0.0016172,0.0016172
60,1361.79,1.01331,0.71228,1.26416,0.88981,0.91103,0.93678,0.6567,1.09891,0.67811,1.30111,0.0016106,0.0016106,0.0016106
61,1383.37,0.96662,0.72165,1.25082,0.88598,0.879,0.92155,0.66099,1.01227,0.66471,1.30619,0.001604,0.001604,0.001604
62,1404.37,0.99623,0.7243,1.26349,0.9138,0.8677,0.93214,0.64979,1.03419,0.68416,1.29022,0.0015974,0.0015974,0.0015974
63,1427.86,1.005,0.73927,1.26417,0.90525,0.88612,0.93757,0.65616,1.08148,0.66735,1.33725,0.0015908,0.0015908,0.0015908
64,1451.35,0.96453,0.71515,1.26097,0.87653,0.879,0.91729,0.63869,1.09446,0.70799,1.31124,0.0015842,0.0015842,0.0015842
65,1474.88,0.99185,0.71766,1.25203,0.87875,0.9027,0.9285,0.65491,1.09171,0.67438,1.38551,0.0015776,0.0015776,0.0015776
