epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1833.95,0.79779,0.64288,1.14347,0.89987,0.89513,0.93225,0.6791,0.91409,0.59297,1.23581,0.001439,0.001439,0.001439
87,1855.94,0.77523,0.65096,1.13311,0.88593,0.93258,0.94603,0.66773,0.85356,0.59524,1.23575,0.0014324,0.0014324,0.0014324
88,1876.01,0.78781,0.62633,1.13528,0.88927,0.90232,0.93003,0.68556,0.84328,0.57775,1.2082,0.0014258,0.0014258,0.0014258
89,1897.98,0.77246,0.62448,1.13625,0.88855,0.86591,0.92168,0.67849,0.84111,0.59509,1.19004,0.0014192,0.0014192,0.0014192
90,1918.44,0.76649,0.62435,1.13019,0.8993,0.90312,0.92495,0.67166,0.8691,0.58159,1.21708,0.0014126,0.0014126,0.0014126
91,1940.39,0.77423,0.63866,1.13603,0.91093,0.89888,0.94456,0.67646,0.8559,0.60111,1.19343,0.001406,0.001406,0.001406
92,1962.47,0.76626,0.62112,1.12242,0.89928,0.8839,0.92234,0.66663,0.86717,0.60468,1.21139,0.0013994,0.0013994,0.0013994
93,1984.42,0.77041,0.62792,1.123,0.89005,0.89139,0.93079,0.67779,0.88399,0.57374,1.22718,0.0013928,0.0013928,0.0013928
94,2006.41,0.76913,0.62762,1.12503,0.92558,0.83849,0.93359,0.69808,0.80757,0.5729,1.18965,0.0013862,0.0013862,0.0013862
95,2028.36,0.77189,0.63605,1.12582,0.88027,0.8812,0.91458,0.65782,0.85222,0.59425,1.21388,0.0013796,0.0013796,0.0013796
96,2050.34,0.76678,0.63212,1.12985,0.89015,0.84979,0.91649,0.66688,0.84604,0.5995,1.21405,0.001373,0.001373,0.001373
97,2072.27,0.75602,0.62361,1.12981,0.92029,0.90806,0.93923,0.70042,0.83074,0.55835,1.1665,0.0013664,0.0013664,0.0013664
98,2094.2,0.75497,0.60617,1.11442,0.88557,0.89888,0.92688,0.66969,0.86097,0.58536,1.20149,0.0013598,0.0013598,0.0013598
99,2114.52,0.75148,0.61021,1.10997,0.86418,0.90558,0.92704,0.67286,0.83586,0.62294,1.19668,0.0013532,0.0013532,0.0013532
100,2134.71,0.78245,0.62334,1.12593,0.90213,0.89757,0.93281,0.67306,0.87652,0.56738,1.21985,0.0013466,0.0013466,0.0013466
101,2156.68,0.74836,0.59795,1.11303,0.86883,0.8931,0.90209,0.6208,0.93564,0.61558,1.31223,0.00134,0.00134,0.00134
102,2175.56,0.75862,0.60753,1.12319,0.90732,0.87993,0.92965,0.68572,0.82932,0.54601,1.2125,0.0013334,0.0013334,0.0013334
103,2197.48,0.73808,0.59991,1.10782,0.91365,0.87187,0.92072,0.6688,0.8669,0.57132,1.23747,0.0013268,0.0013268,0.0013268
104,2219.37,0.77853,0.61077,1.13152,0.92606,0.89888,0.93961,0.68717,0.86378,0.55439,1.22181,0.0013202,0.0013202,0.0013202
105,2241.36,0.73844,0.58086,1.11633,0.88274,0.90223,0.92074,0.67155,0.85059,0.55468,1.20662,0.0013136,0.0013136,0.0013136
106,2263.35,0.74867,0.61658,1.127,0.89416,0.88599,0.91825,0.67029,0.84914,0.57469,1.19937,0.001307,0.001307,0.001307
107,2283.59,0.76735,0.62001,1.12768,0.90274,0.85768,0.91824,0.67698,0.83081,0.57136,1.20219,0.0013004,0.0013004,0.0013004
108,2305.53,0.72527,0.58685,1.09804,0.88173,0.8935,0.9154,0.67658,0.84993,0.55931,1.22393,0.0012938,0.0012938,0.0012938
109,2325.63,0.74523,0.59083,1.12038,0.87711,0.90888,0.92041,0.67941,0.84581,0.59078,1.2213,0.0012872,0.0012872,0.0012872
110,2347.59,0.74399,0.59171,1.11953,0.90955,0.86626,0.91202,0.67108,0.8642,0.57595,1.24229,0.0012806,0.0012806,0.0012806
111,2367.94,0.74495,0.59488,1.10813,0.89899,0.9,0.9264,0.67447,0.8447,0.56304,1.22583,0.001274,0.001274,0.001274
112,2388.41,0.73332,0.58307,1.10963,0.88768,0.88015,0.90204,0.65278,0.86948,0.5946,1.22587,0.0012674,0.0012674,0.0012674
113,2410.37,0.73785,0.58204,1.11219,0.86726,0.89513,0.91111,0.65698,0.83373,0.61836,1.22539,0.0012608,0.0012608,0.0012608
114,2432.07,0.73744,0.57196,1.11621,0.8521,0.89888,0.91743,0.66922,0.83228,0.58146,1.18499,0.0012542,0.0012542,0.0012542
115,2454.04,0.73898,0.56972,1.11244,0.88814,0.86237,0.91749,0.65755,0.82408,0.58539,1.2148,0.0012476,0.0012476,0.0012476
116,2475.95,0.74025,0.59207,1.10515,0.89618,0.87293,0.92931,0.67991,0.82334,0.56404,1.19982,0.001241,0.001241,0.001241
117,2496.09,0.72375,0.5802,1.09948,0.90361,0.87777,0.93007,0.68383,0.80161,0.56146,1.18033,0.0012344,0.0012344,0.0012344
118,2516.7,0.72313,0.56496,1.11059,0.90102,0.88641,0.9314,0.66947,0.85742,0.57132,1.23751,0.0012278,0.0012278,0.0012278
