epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2198.15,0.87062,0.62792,1.20405,0.92245,0.87544,0.93862,0.68933,0.99261,0.60767,1.25705,0.0013664,0.0013664,0.0013664
98,2222.59,0.88539,0.62159,1.19494,0.90721,0.91459,0.94754,0.69315,0.97712,0.57466,1.27884,0.0013598,0.0013598,0.0013598
99,2243.03,0.89484,0.63325,1.19893,0.88615,0.87544,0.92422,0.67278,0.97036,0.61067,1.26698,0.0013532,0.0013532,0.0013532
100,2265.63,0.90589,0.63652,1.2,0.91392,0.90391,0.9447,0.67918,1.01913,0.59134,1.26878,0.0013466,0.0013466,0.0013466
101,2290.08,0.8846,0.61881,1.19829,0.91414,0.90391,0.94193,0.67391,1.01487,0.59289,1.29129,0.00134,0.00134,0.00134
102,2312.77,0.90794,0.63853,1.20987,0.89685,0.89736,0.93926,0.68829,1.01032,0.59557,1.30284,0.0013334,0.0013334,0.0013334
103,2337.28,0.88464,0.61714,1.18758,0.91622,0.90036,0.93486,0.6779,0.95349,0.60179,1.28376,0.0013268,0.0013268,0.0013268
104,2360.41,0.90089,0.6267,1.20272,0.92856,0.92512,0.96075,0.71845,0.94918,0.53849,1.25522,0.0013202,0.0013202,0.0013202
105,2385.06,0.86686,0.61631,1.18943,0.89531,0.88968,0.91816,0.68217,0.98872,0.61706,1.28378,0.0013136,0.0013136,0.0013136
106,2410.59,0.88815,0.63699,1.20562,0.89576,0.88684,0.92305,0.68665,0.97373,0.61259,1.2718,0.001307,0.001307,0.001307
107,2435.14,0.8994,0.64503,1.20887,0.90352,0.89324,0.9326,0.67993,0.98313,0.60098,1.27333,0.0013004,0.0013004,0.0013004
108,2459.68,0.85509,0.59935,1.17829,0.92729,0.91459,0.94997,0.69866,0.93487,0.58508,1.23411,0.0012938,0.0012938,0.0012938
109,2479.99,0.87401,0.60226,1.19293,0.88643,0.88883,0.91643,0.6656,0.955,0.61203,1.3284,0.0012872,0.0012872,0.0012872
110,2502.48,0.8729,0.59814,1.19077,0.86123,0.92759,0.92604,0.69199,0.96692,0.59776,1.25959,0.0012806,0.0012806,0.0012806
111,2525.28,0.88285,0.62203,1.18633,0.9109,0.87317,0.93922,0.68379,0.99145,0.5998,1.29706,0.001274,0.001274,0.001274
112,2549.51,0.87291,0.59627,1.18799,0.90092,0.879,0.92238,0.69297,0.97215,0.59608,1.30846,0.0012674,0.0012674,0.0012674
113,2573.9,0.85963,0.59641,1.17907,0.88858,0.90819,0.94722,0.70092,0.93349,0.58658,1.26718,0.0012608,0.0012608,0.0012608
114,2596.49,0.87509,0.60306,1.19183,0.91714,0.86664,0.95015,0.70636,0.95113,0.57771,1.2469,0.0012542,0.0012542,0.0012542
115,2620.64,0.87296,0.60665,1.19281,0.90712,0.90365,0.93914,0.67791,0.97467,0.6069,1.27364,0.0012476,0.0012476,0.0012476
116,2645.27,0.86729,0.60835,1.18083,0.9195,0.89423,0.93922,0.68199,0.96766,0.58441,1.2758,0.001241,0.001241,0.001241
117,2669.86,0.84668,0.60353,1.17176,0.91069,0.91815,0.93608,0.68369,1.00172,0.59899,1.30458,0.0012344,0.0012344,0.0012344
118,2692.67,0.8561,0.59917,1.17713,0.89398,0.9302,0.93928,0.68614,0.94454,0.57768,1.26923,0.0012278,0.0012278,0.0012278
119,2712.29,0.84661,0.59351,1.1684,0.89286,0.879,0.94066,0.68956,0.94852,0.58545,1.28113,0.0012212,0.0012212,0.0012212
120,2736.89,0.8631,0.60894,1.17889,0.93363,0.9011,0.94508,0.6803,0.9293,0.57758,1.26498,0.0012146,0.0012146,0.0012146
121,2760.15,0.87803,0.60571,1.19556,0.93042,0.8968,0.94096,0.68417,0.97588,0.57634,1.2745,0.001208,0.001208,0.001208
122,2783.13,0.86523,0.59965,1.184,0.9397,0.88739,0.96053,0.69504,0.9712,0.55633,1.28537,0.0012014,0.0012014,0.0012014
123,2806.29,0.84335,0.5828,1.17661,0.92701,0.91815,0.94942,0.69123,0.99445,0.54445,1.32232,0.0011948,0.0011948,0.0011948
124,2830.92,0.86271,0.59385,1.17486,0.88556,0.88968,0.92994,0.68756,0.93728,0.57616,1.27004,0.0011882,0.0011882,0.0011882
125,2853.9,0.84757,0.58924,1.16416,0.92229,0.90391,0.93379,0.69396,0.96294,0.55354,1.2823,0.0011816,0.0011816,0.0011816
126,2878.52,0.84904,0.59885,1.17094,0.90668,0.89901,0.94619,0.70284,0.91717,0.54888,1.25222,0.001175,0.001175,0.001175
127,2903.52,0.84947,0.57499,1.1596,0.92684,0.91815,0.96025,0.69989,0.9256,0.5393,1.2421,0.0011684,0.0011684,0.0011684
128,2927.87,0.85291,0.61008,1.17218,0.91355,0.90747,0.95591,0.7134,0.96914,0.538,1.24057,0.0011618,0.0011618,0.0011618
129,2952.18,0.83009,0.57762,1.16726,0.93518,0.87283,0.94082,0.68859,0.96641,0.57229,1.28548,0.0011552,0.0011552,0.0011552
130,2976.6,0.84102,0.58423,1.15956,0.91098,0.91046,0.93946,0.70466,0.93785,0.57317,1.30157,0.0011486,0.0011486,0.0011486
131,2999.09,0.81492,0.57183,1.15699,0.92035,0.9047,0.94604,0.69425,0.95461,0.56493,1.25005,0.001142,0.001142,0.001142
132,3023.49,0.81291,0.58144,1.15662,0.91073,0.92171,0.94985,0.69901,0.9386,0.56796,1.2763,0.0011354,0.0011354,0.0011354
133,3047.91,0.81695,0.56393,1.16248,0.92713,0.90555,0.94793,0.68729,0.98635,0.5729,1.30754,0.0011288,0.0011288,0.0011288
134,3072.3,0.83569,0.58402,1.16864,0.91077,0.90812,0.93984,0.6852,0.93874,0.58839,1.25471,0.0011222,0.0011222,0.0011222
135,3092.25,0.81396,0.56871,1.15761,0.93499,0.87006,0.95078,0.69191,0.94239,0.55446,1.24524,0.0011156,0.0011156,0.0011156
136,3116.54,0.82049,0.56516,1.15663,0.918,0.91103,0.94916,0.69383,0.94397,0.56861,1.24978,0.001109,0.001109,0.001109
137,3140.88,0.8324,0.57954,1.15682,0.92408,0.90959,0.94298,0.69024,0.94471,0.58044,1.28275,0.0011024,0.0011024,0.0011024
138,3160.8,0.80973,0.56691,1.14674,0.90993,0.8988,0.93821,0.68437,0.96673,0.57112,1.30143,0.0010958,0.0010958,0.0010958
139,3184.91,0.83159,0.57017,1.16148,0.91682,0.90217,0.93434,0.6991,0.93677,0.56071,1.27981,0.0010892,0.0010892,0.0010892
140,3209.4,0.83248,0.55827,1.16624,0.9173,0.91815,0.94966,0.6943,0.96584,0.55895,1.27915,0.0010826,0.0010826,0.0010826
141,3233.39,0.81022,0.56916,1.15216,0.90528,0.91831,0.93988,0.69118,0.909,0.55514,1.27114,0.001076,0.001076,0.001076
142,3257.17,0.81392,0.58356,1.16507,0.89413,0.93171,0.94414,0.69676,0.92618,0.56385,1.24499,0.0010694,0.0010694,0.0010694
143,3281.32,0.8097,0.57575,1.15556,0.91301,0.91103,0.94329,0.68794,0.97488,0.56897,1.3124,0.0010628,0.0010628,0.0010628
144,3304.97,0.82084,0.55946,1.1578,0.92844,0.90747,0.95515,0.70055,0.91881,0.5433,1.27494,0.0010562,0.0010562,0.0010562
145,3328.46,0.80534,0.57257,1.14839,0.90814,0.91469,0.95404,0.70876,0.92278,0.53719,1.26847,0.0010496,0.0010496,0.0010496
146,3352.49,0.81689,0.56921,1.15229,0.93815,0.91769,0.9569,0.7036,0.93519,0.54056,1.28087,0.001043,0.001043,0.001043
147,3376.16,0.81744,0.54995,1.1564,0.91625,0.91815,0.94665,0.70263,0.91019,0.52146,1.2454,0.0010364,0.0010364,0.0010364
148,3399.71,0.80229,0.56198,1.14889,0.9068,0.9349,0.95418,0.69896,0.93365,0.54337,1.28224,0.0010298,0.0010298,0.0010298
149,3423.7,0.80843,0.5508,1.15338,0.90905,0.91815,0.94925,0.70625,0.9167,0.53691,1.25976,0.0010232,0.0010232,0.0010232
150,3447.55,0.82036,0.54872,1.15195,0.9177,0.9395,0.95265,0.71457,0.89019,0.53444,1.24059,0.0010166,0.0010166,0.0010166
151,3471.55,0.79952,0.55592,1.15014,0.93638,0.91815,0.94939,0.69489,0.93771,0.56994,1.29008,0.00101,0.00101,0.00101
152,3495.04,0.80513,0.54567,1.15524,0.91514,0.8968,0.94564,0.6948,0.92567,0.55124,1.25922,0.0010034,0.0010034,0.0010034
153,3519.07,0.80536,0.55854,1.14692,0.91517,0.92139,0.95351,0.70267,0.92644,0.5267,1.25212,0.0009968,0.0009968,0.0009968
154,3542.8,0.80674,0.5475,1.14218,0.92787,0.91558,0.94722,0.69392,0.90134,0.53511,1.25211,0.0009902,0.0009902,0.0009902
155,3566.84,0.78985,0.54274,1.13542,0.93039,0.91815,0.93404,0.70088,0.92646,0.55366,1.28076,0.0009836,0.0009836,0.0009836
156,3590.9,0.79938,0.55331,1.1413,0.93751,0.91103,0.94831,0.6927,0.93917,0.54224,1.29818,0.000977,0.000977,0.000977
157,3614.83,0.7968,0.55538,1.14678,0.91332,0.91815,0.93622,0.70257,0.92749,0.53435,1.28422,0.0009704,0.0009704,0.0009704
158,3638.59,0.79844,0.55891,1.15023,0.91587,0.92981,0.95792,0.71047,0.91237,0.54113,1.27213,0.0009638,0.0009638,0.0009638
159,3662.73,0.8077,0.54621,1.1534,0.93163,0.8968,0.93458,0.69675,0.93129,0.54825,1.33049,0.0009572,0.0009572,0.0009572
160,3686.64,0.78307,0.54122,1.13378,0.93049,0.90519,0.93816,0.69755,0.95879,0.53579,1.30997,0.0009506,0.0009506,0.0009506
161,3710.99,0.80047,0.54647,1.13768,0.93687,0.91459,0.93915,0.70043,0.91694,0.53379,1.26448,0.000944,0.000944,0.000944
162,3738.12,0.80022,0.53648,1.13978,0.92933,0.90747,0.92297,0.68384,0.93234,0.54841,1.29318,0.0009374,0.0009374,0.0009374
163,3764.05,0.77789,0.53998,1.13618,0.91736,0.90862,0.93725,0.69482,0.92663,0.56033,1.2947,0.0009308,0.0009308,0.0009308
164,3788,0.79093,0.53185,1.12816,0.90259,0.92327,0.93866,0.69715,0.91789,0.53761,1.31355,0.0009242,0.0009242,0.0009242
165,3811.72,0.78413,0.55423,1.14573,0.91208,0.92297,0.94136,0.68138,0.95053,0.52823,1.33585,0.0009176,0.0009176,0.0009176
166,3832.54,0.7754,0.54063,1.13681,0.91603,0.93238,0.94492,0.70407,0.91815,0.51929,1.29093,0.000911,0.000911,0.000911
167,3856.21,0.78947,0.53755,1.14481,0.92311,0.93238,0.94163,0.68955,0.93413,0.5347,1.29562,0.0009044,0.0009044,0.0009044
168,3879.63,0.77346,0.54012,1.13168,0.91018,0.8968,0.93801,0.69298,0.89748,0.56001,1.28734,0.0008978,0.0008978,0.0008978
169,3902.73,0.76981,0.5316,1.12957,0.90081,0.92171,0.94161,0.70274,0.89487,0.54351,1.28994,0.0008912,0.0008912,0.0008912
170,3924.12,0.77213,0.52615,1.12996,0.92626,0.91459,0.93609,0.69924,0.90955,0.52231,1.34414,0.0008846,0.0008846,0.0008846
171,3943.8,0.76551,0.53139,1.12134,0.92071,0.90916,0.94284,0.68806,0.89797,0.53198,1.29115,0.000878,0.000878,0.000878
172,3962.37,0.78253,0.52908,1.12868,0.90953,0.90747,0.93294,0.68561,0.89972,0.54919,1.27808,0.0008714,0.0008714,0.0008714
173,3976.33,0.74441,0.52771,1.11843,0.93276,0.90391,0.94272,0.69986,0.88133,0.52447,1.28624,0.0008648,0.0008648,0.0008648
